objectid,zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,pop15,st_areashape,st_lengthshape
1,96701,96701,B5,G6350,S,48965615,2013466,21.406053,-157.8849518,{C4B29141-1715-4E79-8A69-AFAF7421A74B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,39270,50954424.32,0
2,96703,96703,B5,G6350,S,48479203,4319417,22.1455784,-159.3856809,{F55F7299-E066-4447-BE9B-E075C1C834CD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2162,52760060.41,0
3,96704,96704,B5,G6350,S,738013505,57244562,19.3372688,-155.8376215,{90B979F3-8F45-40ED-8303-B8788895C4F7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,7873,796824886.6,0
4,96705,96705,B5,G6350,S,7534482,1270446,21.8995324,-159.5685455,{76F30E57-CBEB-433D-94EC-F7FB8E3D240A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2512,8798814.384,0
5,96706,96706,B5,G6350,S,44291604,4791628,21.3447632,-158.022279,{A7450AC0-C5A2-473C-B3DA-8FA490659611},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,67146,49056332.33,0
6,96707,96707,B5,G6350,S,112346899,7860946,21.3631058,-158.0822064,{D4ECA8F8-2AD3-4037-B04D-D52A5823BFD2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,45771,120138068.9,0
7,96708,96708,B5,G6350,S,252370839,21125903,20.8523889,-156.2235622,{8FF3F49B-CF2B-41BD-AD80-BB65F12DED60},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,10110,273848868.6,0
8,96710,96710,B5,G6350,S,99135286,1769037,19.8424793,-155.2475125,{248DB7E1-1957-4D0B-8BB6-E845CEB627C9},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,222,101215324.8,0
9,96712,96712,B5,G6350,S,53632344,12294305,21.6213665,-158.0480108,{9A865EBB-E216-47E1-967C-43065926B9B6},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,8441,65889152.54,0
10,96713,96713,B5,G6350,S,270727688,12880775,20.7388207,-156.0450461,{70B0933A-C73F-4985-9004-EEC4105614BE},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1571,284039199.2,0
11,96714,96714,B5,G6350,S,202828154,14700774,22.1312495,-159.5209723,{BD935F3D-5295-4A63-AB86-D750F51B1835},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,715,217388455.7,0
12,96716,96716,B5,G6350,S,278328524,3987973,22.0492751,-159.5924185,{6AC57CDA-684E-43B9-A1A4-70C43A59E585},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2757,282102809.4,0
13,96717,96717,B5,G6350,S,64421097,5993075,21.5577941,-157.9053398,{D7A58ACF-A281-43AE-9683-1CFFD41FAE91},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4965,70380089.33,0
14,96719,96719,B5,G6350,S,52878406,147154,20.2343637,-155.8359408,{FDE2EB63-4F04-4E89-AC89-D31BDF934BEA},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2423,53129412.3,0
15,96720,96720,B5,G6350,S,775786887,17977655,19.6598098,-155.2324728,{80DA3EDD-06D7-41D5-A8C6-74596BD689A6},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,47938,796192004.7,0
16,96722,96722,B5,G6350,S,14420781,2792869,22.1883799,-159.4608936,{0BEEDD59-55E9-4A0E-9915-8563002285D3},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2629,17201466.89,0
17,96725,96725,B5,G6350,S,203068593,17386,19.6264878,-155.9103359,{30A67023-B071-4B50-B545-18303BB27065},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3475,203594308.8,0
