GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0400000US15,15,Hawaii,455502,2028,317764,2337,236549,2261,137738,2057,5.5,0.2,3.0,0.2,1.3,0.2,12.5,0.6,3.3,0.2,1.9,0.2,1.2,0.1,7.0,0.4,6.6,0.3,4.2,0.2,2.9,0.2,12.5,0.7,6.8,0.3,5.8,0.3,4.5,0.3,10.2,0.6,10.6,0.3,9.5,0.4,8.3,0.3,14.0,0.7,17.3,0.3,17.4,0.4,16.5,0.5,17.8,0.6,14.2,0.3,15.6,0.4,16.4,0.4,10.6,0.5,18.8,0.4,22.4,0.5,24.9,0.6,9.7,0.5,8.6,0.3,10.4,0.3,12.2,0.4,3.0,0.3,8.4,0.2,9.9,0.3,11.8,0.4,2.7,0.2,74923,736,87024,803,97967,1017,42304,754,95569,807,107549,956,118976,1156,59190,1035,36.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
0500000US15001,15001,"Hawaii County, Hawaii",67054,945,44937,1136,32268,1127,22117,960,9.1,0.8,5.7,1.1,2.4,0.7,18.0,1.9,5.4,0.7,3.5,0.7,2.2,0.6,10.0,1.4,10.4,0.8,7.0,0.9,4.9,0.8,17.7,2.1,8.8,0.9,8.9,1.0,6.4,0.9,10.2,1.6,11.5,0.9,11.1,1.1,10.7,1.1,12.8,1.7,18.3,1.1,20.4,1.6,20.8,1.6,13.7,1.6,12.8,1.0,14.7,1.3,16.9,1.4,7.4,1.4,14.7,1.0,17.8,1.3,21.4,1.7,6.8,1.4,5.0,0.6,6.2,0.8,8.1,1.1,1.7,0.6,4.1,0.5,4.8,0.7,6.2,0.9,1.8,0.7,56395,1657,66165,1955,78271,2430,29320,2926,73391,2234,83138,2918,96343,3724,46729,2893,36.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X)
0500000US15003,15003,"Honolulu County, Hawaii",311451,1436,219859,1659,164797,1597,91592,1555,4.8,0.2,2.6,0.2,1.0,0.2,11.3,0.7,2.7,0.2,1.6,0.2,1.0,0.2,5.9,0.5,5.6,0.3,3.6,0.2,2.6,0.3,10.9,0.7,6.2,0.3,5.0,0.3,4.1,0.3,9.7,0.6,10.3,0.4,9.0,0.4,7.8,0.4,14.2,0.8,17.1,0.4,16.6,0.4,15.5,0.5,19.1,0.7,14.4,0.4,15.5,0.5,15.8,0.5,12.0,0.6,19.8,0.5,23.3,0.6,25.4,0.7,10.5,0.6,9.5,0.3,11.5,0.4,13.4,0.5,3.4,0.4,9.6,0.3,11.3,0.4,13.3,0.4,2.9,0.3,80078,978,93367,923,103580,968,47057,1185,101194,957,113499,1110,124239,1356,62858,1385,35.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X)
0500000US15005,15005,"Kalawao County, Hawaii",53,8,15,5,15,5,38,8,13.2,11.1,20.0,24.8,20.0,24.8,10.5,14.4,0.0,37.4,0.0,70.4,0.0,70.4,0.0,44.3,7.5,7.4,0.0,70.4,0.0,70.4,10.5,10.0,0.0,37.4,0.0,70.4,0.0,70.4,0.0,44.3,11.3,6.7,0.0,70.4,0.0,70.4,15.8,8.9,39.6,14.5,26.7,18.9,26.7,18.9,44.7,19.4,3.8,4.2,0.0,70.4,0.0,70.4,5.3,5.8,17.0,10.8,40.0,23.8,40.0,23.8,7.9,12.0,7.5,6.4,13.3,17.2,13.3,17.2,5.3,5.6,0.0,37.4,0.0,70.4,0.0,70.4,0.0,44.3,61750,11280,113125,38967,113125,38967,53750,12070,70187,14972,92647,36116,N,N,61324,16351,34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
0500000US15007,15007,"Kauai County, Hawaii",22563,460,15723,530,12083,552,6840,569,5.1,1.0,2.4,0.7,1.7,0.7,13.0,2.8,4.7,0.8,2.2,0.6,1.6,0.7,11.4,2.3,6.5,1.0,4.7,1.1,2.3,0.7,11.9,2.4,8.1,1.1,6.3,1.1,4.6,1.0,12.9,2.8,11.7,1.4,10.7,1.6,9.4,1.8,13.6,2.5,15.6,1.4,16.0,1.8,15.7,1.9,15.4,2.2,14.6,1.6,17.5,1.9,18.7,2.3,8.5,2.2,20.4,1.8,24.3,2.2,27.8,2.7,9.5,2.3,7.1,1.1,8.2,1.4,8.7,1.7,2.4,1.0,6.3,0.8,7.8,1.2,9.6,1.4,1.5,0.6,72330,3242,85517,2612,94755,4911,35671,3094,87766,2825,100280,3602,110710,4443,50740,2923,49.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),50.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),44.1,(X)
0500000US15009,15009,"Maui County, Hawaii",54381,693,37230,776,27386,832,17151,763,5.1,0.7,2.7,0.6,1.1,0.4,11.2,1.7,3.1,0.4,1.7,0.4,1.1,0.3,6.7,1.0,7.1,0.8,4.1,0.6,2.8,0.5,14.4,1.9,7.9,0.9,6.8,1.1,5.0,1.0,11.9,1.8,10.9,0.8,10.3,1.1,7.8,1.0,14.8,1.9,17.9,1.0,18.8,1.5,17.6,1.6,17.4,1.6,14.4,0.9,16.3,1.2,18.8,1.6,8.1,1.3,17.8,1.1,21.3,1.4,24.7,1.7,9.4,1.6,8.1,0.9,9.4,1.0,11.0,1.3,2.9,0.9,7.7,0.7,8.6,0.8,10.1,1.0,3.4,0.9,72762,1654,82641,1972,92627,2474,40274,2140,93964,2299,104955,2636,117639,3426,59032,3391,33.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
8600000US96701,96701,ZCTA5 96701,13080,267,9329,354,6693,342,3751,353,3.9,1.3,2.0,0.9,0.8,0.5,10.2,4.1,1.5,0.7,0.7,0.5,0.5,0.5,3.7,2.0,3.8,1.1,2.9,1.2,1.8,1.3,6.4,2.3,6.6,1.4,5.9,1.4,2.8,0.9,9.5,3.1,9.5,1.7,6.8,1.6,6.2,2.0,15.0,3.4,14.3,2.1,12.1,2.2,10.8,2.6,23.6,4.7,15.1,2.3,15.4,2.4,16.2,2.7,15.4,4.2,23.9,2.2,28.3,2.6,30.0,3.2,10.9,2.9,10.2,1.5,13.0,1.8,15.3,2.2,2.9,2.1,11.2,1.6,12.9,1.8,15.7,2.3,2.4,2.3,91646,3650,105616,3181,113596,4606,56010,6790,106265,3823,119068,4937,N,N,62595,5464,37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
8600000US96703,96703,ZCTA5 96703,594,70,404,57,300,52,190,48,12.1,5.1,7.2,3.7,5.0,3.4,22.6,14.0,8.2,3.9,3.7,2.5,2.3,2.4,19.5,11.6,9.1,3.8,7.9,4.2,6.7,4.9,10.0,7.6,5.4,2.6,5.9,3.3,7.0,4.3,4.2,4.4,12.1,4.0,8.4,3.6,6.3,3.9,20.5,9.5,13.3,4.4,18.1,5.9,17.7,7.2,3.2,3.3,17.8,8.5,21.0,8.9,23.0,11.1,12.1,10.8,13.3,3.8,18.1,5.2,20.7,7.3,2.6,3.0,4.0,2.4,5.9,3.5,7.0,4.6,0.0,13.4,4.5,3.5,3.7,3.4,4.3,4.3,5.3,7.0,62500,20654,73750,11663,84167,11984,21923,16443,69625,9459,79579,7826,N,N,46687,22902,40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),49.5,(X)
8600000US96704,96704,ZCTA5 96704,2578,224,1854,242,1369,237,724,198,6.6,3.9,4.2,4.7,0.0,2.0,12.7,7.4,2.3,1.9,0.9,1.4,0.0,2.0,5.9,5.3,13.1,6.3,10.1,6.1,8.0,6.0,21.0,13.0,13.4,5.0,14.7,6.8,9.8,6.6,12.7,8.4,11.9,4.5,10.1,4.1,11.1,5.8,16.3,10.3,18.6,6.2,16.3,6.8,18.0,8.8,21.7,12.1,7.1,3.3,7.2,3.8,6.4,4.4,6.8,6.7,13.2,5.4,17.8,7.4,23.5,9.6,2.2,3.6,6.7,3.1,10.4,4.6,12.0,6.0,0.0,3.7,7.1,5.1,8.3,6.7,11.2,8.9,0.7,1.2,51483,6450,66204,9735,80956,35985,30139,12272,98482,39143,120882,50727,N,N,37922,6592,36.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.1,(X)
8600000US96705,96705,ZCTA5 96705,761,96,595,96,414,98,166,47,7.8,3.9,3.2,3.1,1.2,2.2,27.7,13.1,3.4,2.9,1.0,1.8,0.0,6.4,12.0,10.4,4.3,3.1,3.9,3.4,1.4,2.1,9.6,9.4,5.9,3.8,4.2,4.0,2.7,3.7,8.4,9.0,10.9,5.1,10.8,5.7,10.1,6.7,12.0,8.6,17.1,5.5,20.8,6.6,16.7,7.7,12.7,10.1,15.1,5.1,16.5,5.7,15.9,8.2,3.0,5.2,27.9,6.7,29.9,7.9,39.6,10.5,14.5,10.8,3.2,2.8,4.0,3.7,4.1,4.3,0.0,15.2,4.5,3.3,5.7,4.2,8.2,5.7,0.0,15.2,75938,11297,83188,12628,102857,22684,25417,16989,82731,10093,92476,11799,N,N,40404,11813,57.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),60.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),44.0,(X)
